Time Stamp, Pressure [Pa], System State, Alarm State
Thursday 07-05-2020 01:59:54 CEST +0200,9131824,7,0
Thursday 07-05-2020 01:59:54 CEST +0200,9132796,7,0
Thursday 07-05-2020 01:59:54 CEST +0200,9132289,7,0
Thursday 07-05-2020 01:59:54 CEST +0200,9133229,7,0
Thursday 07-05-2020 01:59:55 CEST +0200,9133258,7,0
Thursday 07-05-2020 01:59:55 CEST +0200,9132952,7,0
Thursday 07-05-2020 01:59:55 CEST +0200,9133864,7,0
Thursday 07-05-2020 01:59:55 CEST +0200,9134675,7,0
Thursday 07-05-2020 01:59:56 CEST +0200,9134802,7,0
Thursday 07-05-2020 01:59:56 CEST +0200,9135199,7,0
Thursday 07-05-2020 01:59:56 CEST +0200,9134429,7,0
Thursday 07-05-2020 01:59:56 CEST +0200,9133690,7,0
Thursday 07-05-2020 01:59:57 CEST +0200,9133217,7,0
Thursday 07-05-2020 01:59:57 CEST +0200,9133434,7,0
Thursday 07-05-2020 01:59:57 CEST +0200,9133604,7,0
Thursday 07-05-2020 01:59:57 CEST +0200,9133570,7,0
Thursday 07-05-2020 01:59:58 CEST +0200,9133084,7,0
Thursday 07-05-2020 01:59:58 CEST +0200,9132076,7,0
Thursday 07-05-2020 01:59:58 CEST +0200,9132989,7,0
Thursday 07-05-2020 01:59:58 CEST +0200,9133093,7,0
Thursday 07-05-2020 01:59:59 CEST +0200,9133592,7,0
Thursday 07-05-2020 01:59:59 CEST +0200,9133456,7,0
Thursday 07-05-2020 01:59:59 CEST +0200,9132365,7,0
Thursday 07-05-2020 01:59:59 CEST +0200,9131619,7,0
Thursday 07-05-2020 02:00:00 CEST +0200,9132452,7,0
Thursday 07-05-2020 02:00:00 CEST +0200,9133425,7,0
Thursday 07-05-2020 02:00:00 CEST +0200,9133323,7,0
Thursday 07-05-2020 02:00:00 CEST +0200,9133464,7,0
Thursday 07-05-2020 02:00:01 CEST +0200,9132399,7,0
Thursday 07-05-2020 02:00:01 CEST +0200,9131822,7,0
Thursday 07-05-2020 02:00:01 CEST +0200,9131004,7,0
Thursday 07-05-2020 02:00:01 CEST +0200,9131237,7,0
Thursday 07-05-2020 02:00:02 CEST +0200,9132397,7,0
Thursday 07-05-2020 02:00:02 CEST +0200,9132272,7,0
Thursday 07-05-2020 02:00:02 CEST +0200,9131809,7,0
Thursday 07-05-2020 02:00:02 CEST +0200,9131361,7,0
Thursday 07-05-2020 02:00:03 CEST +0200,9131694,7,0
Thursday 07-05-2020 02:00:03 CEST +0200,9130506,7,0
Thursday 07-05-2020 02:00:03 CEST +0200,9129668,7,0
Thursday 07-05-2020 02:00:03 CEST +0200,9128927,7,0
Thursday 07-05-2020 02:00:04 CEST +0200,9129337,7,0
Thursday 07-05-2020 02:00:04 CEST +0200,9128494,7,0
Thursday 07-05-2020 02:00:04 CEST +0200,9127778,7,0
Thursday 07-05-2020 02:00:04 CEST +0200,9128479,7,0
Thursday 07-05-2020 02:00:05 CEST +0200,9129053,7,0
Thursday 07-05-2020 02:00:05 CEST +0200,9129271,7,0
Thursday 07-05-2020 02:00:05 CEST +0200,9128737,7,0
Thursday 07-05-2020 02:00:05 CEST +0200,9129590,7,0
Thursday 07-05-2020 02:00:06 CEST +0200,9130000,7,0
Thursday 07-05-2020 02:00:06 CEST +0200,9131143,7,0
Thursday 07-05-2020 02:00:06 CEST +0200,9130463,7,0
Thursday 07-05-2020 02:00:06 CEST +0200,9130171,7,0
Thursday 07-05-2020 02:00:07 CEST +0200,9129542,7,0
Thursday 07-05-2020 02:00:07 CEST +0200,9128971,7,0
Thursday 07-05-2020 02:00:07 CEST +0200,9128698,7,0
Thursday 07-05-2020 02:00:07 CEST +0200,9127701,7,0
Thursday 07-05-2020 02:00:08 CEST +0200,9126902,7,0
Thursday 07-05-2020 02:00:08 CEST +0200,9127291,7,0
Thursday 07-05-2020 02:00:08 CEST +0200,9127199,7,0
Thursday 07-05-2020 02:00:08 CEST +0200,9126100,7,0
Thursday 07-05-2020 02:00:09 CEST +0200,9126677,7,0
Thursday 07-05-2020 02:00:09 CEST +0200,9126967,7,0
Thursday 07-05-2020 02:00:09 CEST +0200,9126865,7,0
Thursday 07-05-2020 02:00:09 CEST +0200,9126965,7,0
Thursday 07-05-2020 02:00:10 CEST +0200,9125929,7,0
Thursday 07-05-2020 02:00:10 CEST +0200,9126564,7,0
Thursday 07-05-2020 02:00:10 CEST +0200,9127416,7,0
Thursday 07-05-2020 02:00:10 CEST +0200,9127477,7,0
Thursday 07-05-2020 02:00:11 CEST +0200,9128125,7,0
Thursday 07-05-2020 02:00:11 CEST +0200,9128904,7,0
Thursday 07-05-2020 02:00:11 CEST +0200,9128988,7,0
Thursday 07-05-2020 02:00:11 CEST +0200,9128409,7,0
Thursday 07-05-2020 02:00:12 CEST +0200,9129109,7,0
Thursday 07-05-2020 02:00:12 CEST +0200,9129241,7,0
Thursday 07-05-2020 02:00:12 CEST +0200,9128162,7,0
Thursday 07-05-2020 02:00:12 CEST +0200,9127799,7,0
Thursday 07-05-2020 02:00:13 CEST +0200,9126949,7,0
Thursday 07-05-2020 02:00:13 CEST +0200,9126537,7,0
Thursday 07-05-2020 02:00:13 CEST +0200,9125826,7,0
Thursday 07-05-2020 02:00:13 CEST +0200,9126150,7,0
Thursday 07-05-2020 02:00:14 CEST +0200,9125244,7,0
Thursday 07-05-2020 02:00:14 CEST +0200,9124617,7,0
Thursday 07-05-2020 02:00:14 CEST +0200,9125414,7,0
